student_id,subject_code,marks,grade,exam_year,exam_session
1,C042,89,A,2024,Spring
2,C012,43,D,2023,Spring
3,C002,43,D,2024,Spring
4,C033,70,B,2022,Fall
5,C045,66,C,2022,Fall
6,C045,98,A,2024,Fall
7,C040,64,C,2021,Summer
8,C006,54,D,2021,Summer
9,C025,73,B,2023,Spring
10,C046,60,C,2024,Spring
11,C002,58,C,2023,Fall
12,C028,73,B,2023,Summer
13,C036,69,C,2023,Spring
14,C027,83,B,2022,Spring
15,C002,69,C,2021,Fall
16,C022,51,D,2024,Summer
17,C011,47,D,2024,Spring
18,C037,56,C,2024,Spring
19,C026,74,B,2022,Spring
20,C032,97,A,2024,Fall
21,C007,96,A,2021,Fall
22,C037,81,B,2023,Summer
23,C005,89,A,2021,Fall
24,C042,51,D,2023,Spring
25,C017,86,A,2021,Spring
26,C035,57,C,2021,Fall
27,C034,54,D,2023,Fall
28,C021,60,C,2023,Summer
29,C023,57,C,2024,Summer
30,C043,49,D,2022,Fall
31,C041,67,C,2023,Fall
32,C008,80,B,2021,Summer
33,C044,92,A,2024,Summer
34,C045,75,B,2024,Spring
35,C005,87,A,2023,Fall
36,C017,91,A,2024,Summer
37,C003,45,D,2023,Summer
38,C028,84,B,2024,Spring
39,C026,67,C,2023,Summer
40,C021,85,A,2024,Fall
41,C029,70,B,2022,Fall
42,C010,64,C,2024,Fall
43,C039,89,A,2023,Summer
44,C030,43,D,2023,Spring
45,C043,74,B,2023,Fall
46,C012,79,B,2022,Spring
47,C007,41,D,2024,Summer
48,C025,59,C,2023,Spring
49,C046,76,B,2022,Summer
50,C011,57,C,2023,Summer
51,C020,52,D,2021,Summer
52,C040,88,A,2023,Summer
53,C032,96,A,2021,Spring
54,C014,40,D,2024,Summer
55,C044,49,D,2022,Summer
56,C049,88,A,2022,Spring
57,C012,74,B,2024,Summer
58,C021,57,C,2023,Summer
59,C007,95,A,2023,Summer
60,C043,42,D,2024,Summer
61,C006,79,B,2024,Fall
62,C031,66,C,2022,Fall
63,C017,49,D,2023,Fall
64,C016,65,C,2024,Summer
65,C047,78,B,2024,Spring
66,C046,55,C,2021,Summer
67,C020,86,A,2023,Fall
68,C016,97,A,2023,Fall
69,C007,41,D,2022,Fall
70,C013,94,A,2024,Fall
71,C030,73,B,2021,Summer
72,C040,81,B,2023,Fall
73,C047,60,C,2022,Summer
74,C010,89,A,2021,Spring
75,C033,59,C,2022,Summer
76,C031,46,D,2024,Summer
77,C004,51,D,2023,Fall
78,C006,97,A,2024,Fall
79,C049,77,B,2021,Summer
80,C027,48,D,2023,Fall
81,C040,93,A,2024,Spring
82,C004,51,D,2024,Spring
83,C047,81,B,2021,Fall
84,C014,99,A,2023,Spring
85,C034,88,A,2024,Fall
86,C031,44,D,2021,Fall
87,C023,43,D,2021,Summer
88,C022,40,D,2024,Summer
89,C017,40,D,2023,Spring
90,C047,96,A,2024,Fall
91,C015,48,D,2021,Summer
92,C029,90,A,2022,Summer
93,C032,59,C,2022,Summer
94,C002,80,B,2022,Summer
95,C037,94,A,2023,Summer
96,C019,56,C,2022,Spring
97,C001,79,B,2023,Summer
98,C049,58,C,2023,Summer
99,C016,95,A,2021,Fall
100,C037,57,C,2023,Fall
